day,hour,value
01,00,67859
01,01,66684
01,02,69715
01,03,86072
01,04,132635
01,05,171892
01,06,179555
01,07,176689
01,08,173323
01,09,176093
01,10,179940
01,11,171720
01,12,164630
01,13,162053
01,14,161483
01,15,161599
01,16,158869
01,17,148042
01,18,130780
01,19,113358
01,20,103692
01,21,97588
01,22,89121
01,23,81338
02,00,75416
02,01,73387
02,02,72979
02,03,76876
02,04,89942
02,05,122676
02,06,166698
02,07,195400
02,08,199272
02,09,195207
02,10,194293
02,11,182259
02,12,173831
02,13,170546
02,14,168875
02,15,169931
02,16,160159
02,17,148518
02,18,125584
02,19,105062
02,20,100168
02,21,94923
02,22,94400
02,23,88054
03,00,80473
03,01,78099
03,02,77186
03,03,78919
03,04,86164
03,05,109386
03,06,147488
03,07,179433
03,08,189084
03,09,186782
03,10,179265
03,11,163312
03,12,147224
03,13,137394
03,14,132277
03,15,136412
03,16,138055
03,17,131612
03,18,114612
03,19,96487
03,20,91281
03,21,87452
03,22,80232
03,23,73188
04,00,70544
04,01,69072
04,02,69950
04,03,86631
04,04,133504
04,05,167317
04,06,170783
04,07,165941
04,08,161118
04,09,162639
04,10,165603
04,11,159550
04,12,153481
04,13,147579
04,14,146589
04,15,149617
04,16,152584
04,17,145064
04,18,123987
04,19,109696
04,20,99006
04,21,91280
04,22,82942
04,23,75045
05,00,71494
05,01,70387
05,02,72426
05,03,88804
05,04,137236
05,05,173228
05,06,175949
05,07,170829
05,08,167746
05,09,167104
05,10,171758
05,11,163704
05,12,158198
05,13,155143
05,14,155681
05,15,157391
05,16,156134
05,17,145230
05,18,130060
05,19,115863
05,20,105828
05,21,96323
05,22,85148
05,23,76495
06,00,72885
06,01,70795
06,02,73860
06,03,90670
06,04,138525
06,05,176175
06,06,179876
06,07,174886
06,08,170337
06,09,171494
06,10,173495
06,11,169935
06,12,161684
06,13,159417
06,14,160749
06,15,161963
06,16,161370
06,17,150307
06,18,132271
06,19,113333
06,20,100480
06,21,95399
06,22,87294
06,23,80324
07,00,76501
07,01,74124
07,02,75549
07,03,93308
07,04,141716
07,05,175549
07,06,178702
07,07,171943
07,08,166010
07,09,166871
07,10,168876
07,11,166839
07,12,161073
07,13,158900
07,14,160529
07,15,162607
07,16,163269
07,17,153586
07,18,131918
07,19,108892
07,20,103287
07,21,102531
07,22,90001
07,23,79068
08,00,74442
08,01,73455
08,02,76854
08,03,92356
08,04,133338
08,05,170398
08,06,178805
08,07,176393
08,08,171191
08,09,172677
08,10,175267
08,11,169914
08,12,162627
08,13,158679
08,14,156825
08,15,154299
08,16,155724
08,17,147317
08,18,132303
08,19,121015
08,20,111980
08,21,102363
08,22,88232
08,23,80414
09,00,75422
09,01,73362
09,02,72818
09,03,76017
09,04,88928
09,05,121324
09,06,164829
09,07,187660
09,08,187823
09,09,181772
09,10,177260
09,11,166596
09,12,156569
09,13,150539
09,14,148686
09,15,149540
09,16,150008
09,17,142537
09,18,129346
09,19,118658
09,20,108890
09,21,99425
09,22,87472
09,23,79842
10,00,75290
10,01,73048
10,02,73440
10,03,74111
10,04,82745
10,05,103729
10,06,142645
10,07,174066
10,08,184395
10,09,180984
10,10,175358
10,11,164695
10,12,156022
10,13,150654
10,14,152888
10,15,158223
10,16,161068
10,17,156972
10,18,144173
10,19,124365
10,20,116519
10,21,113242
10,22,111295
10,23,106877
11,00,104540
11,01,105428
11,02,111732
11,03,128722
11,04,172795
11,05,208825
11,06,218039
11,07,221470
11,08,218472
11,09,225782
11,10,237137
11,11,233646
11,12,231519
11,13,230753
11,14,228840
11,15,231388
11,16,228026
11,17,218234
11,18,200116
11,19,188792
11,20,139551
11,21,105120
11,22,95908
11,23,88161
12,00,85988
12,01,85460
12,02,88643
12,03,106107
12,04,148005
12,05,175057
12,06,178938
12,07,177143
12,08,174033
12,09,174422
12,10,177843
12,11,172200
12,12,165548
12,13,163912
12,14,166358
12,15,168679
12,16,165825
12,17,154122
12,18,131862
12,19,121223
12,20,110950
12,21,101743
12,22,92106
12,23,85354
13,00,82126
13,01,82669
13,02,82329
13,03,97454
13,04,139901
13,05,171629
13,06,178220
13,07,176242
13,08,173777
13,09,175826
13,10,179597
13,11,174568
13,12,167299
13,13,165083
13,14,166726
13,15,161393
13,16,159935
13,17,146873
13,18,128744
13,19,116774
13,20,107800
13,21,97114
13,22,85596
13,23,78479
14,00,73258
14,01,72708
14,02,74791
14,03,90584
14,04,134010
14,05,162489
14,06,172440
14,07,176009
14,08,171996
14,09,172153
14,10,174258
14,11,166577
14,12,160554
14,13,158611
14,14,160699
14,15,162218
14,16,159577
14,17,147493
14,18,129525
14,19,115805
14,20,106670
14,21,97757
14,22,90763
14,23,84040
15,00,80636
15,01,78442
15,02,81014
15,03,92455
15,04,131768
15,05,166003
15,06,177226
15,07,177055
15,08,172891
15,09,171049
15,10,172327
15,11,165391
15,12,156998
15,13,152941
15,14,153707
15,15,154360
15,16,153179
15,17,141889
15,18,126449
15,19,112331
15,20,103144
15,21,95379
15,22,85915
15,23,78687
16,00,74558
16,01,72771
16,02,73177
16,03,76323
16,04,90589
16,05,123586
16,06,166610
16,07,190010
16,08,188914
16,09,182021
16,10,178150
16,11,165838
16,12,154049
16,13,149845
16,14,146683
16,15,146462
16,16,145511
16,17,137823
16,18,124471
16,19,115759
16,20,103645
16,21,95306
16,22,86626
16,23,79883
17,00,75422
17,01,71699
17,02,72047
17,03,73848
17,04,81064
17,05,102511
17,06,140881
17,07,172180
17,08,179632
17,09,176538
17,10,168691
17,11,153293
17,12,141530
17,13,134871
17,14,131619
17,15,132295
