day,hour,value
01,00,70817
01,01,70058
01,02,72022
01,03,87533
01,04,132299
01,05,167565
01,06,168025
01,07,164744
01,08,160017
01,09,159094
01,10,162073
01,11,155547
01,12,149044
01,13,148143
01,14,147932
01,15,151882
01,16,150959
01,17,140034
01,18,117966
01,19,105035
01,20,96072
01,21,88031
01,22,79189
01,23,73663
02,00,70392
02,01,69821
02,02,74336
02,03,85231
02,04,128000
02,05,165251
02,06,170080
02,07,164928
02,08,159624
02,09,162776
02,10,167172
02,11,165523
02,12,164793
02,13,161590
02,14,168534
02,15,173277
02,16,172783
02,17,162652
02,18,124271
02,19,106588
02,20,98028
02,21,91889
02,22,82324
02,23,73791
03,00,67708
03,01,65965
03,02,65266
03,03,69006
03,04,81066
03,05,113594
03,06,160425
03,07,183748
03,08,180131
03,09,172898
03,10,165949
03,11,154354
03,12,142860
03,13,139430
03,14,137992
03,15,140078
03,16,139550
03,17,132003
03,18,115870
03,19,102175
03,20,92685
03,21,86353
03,22,80772
03,23,73332
04,00,67423
04,01,64798
04,02,64331
04,03,65898
04,04,71524
04,05,94765
04,06,136680
04,07,169937
04,08,179239
04,09,178884
04,10,170088
04,11,151872
04,12,135099
04,13,128442
04,14,128539
04,15,129923
04,16,131706
04,17,121805
04,18,100571
04,19,87341
04,20,82211
04,21,79164
04,22,72710
04,23,66807
05,00,68335
05,01,62476
05,02,64576
05,03,81399
05,04,129268
05,05,164935
05,06,166878
05,07,162992
05,08,158693
05,09,157902
05,10,160703
05,11,151065
05,12,143024
05,13,141793
05,14,143754
05,15,146377
05,16,147151
05,17,134398
05,18,111931
05,19,96655
05,20,89452
05,21,83801
05,22,75962
05,23,73702
06,00,67498
06,01,66579
06,02,69006
06,03,85848
06,04,133693
06,05,168976
06,06,170206
06,07,164783
06,08,157280
06,09,157068
06,10,161097
06,11,154606
06,12,147388
06,13,146327
06,14,150065
06,15,152510
06,16,154254
06,17,141184
06,18,120050
06,19,103733
06,20,96416
06,21,88959
06,22,80968
06,23,74451
07,00,71372
07,01,69608
07,02,71895
07,03,88292
07,04,137135
07,05,172454
07,06,175490
07,07,168002
07,08,160108
07,09,157900
07,10,161537
07,11,154912
07,12,148338
07,13,147691
07,14,150306
07,15,152265
07,16,151362
07,17,144629
07,18,125587
07,19,111872
07,20,105030
07,21,98909
07,22,91188
07,23,86282
08,00,83482
08,01,84655
08,02,88991
08,03,108410
08,04,157567
08,05,194646
08,06,193949
08,07,191421
08,08,187502
08,09,188547
08,10,193276
08,11,187549
08,12,182679
08,13,184820
08,14,189675
08,15,193958
08,16,195088
08,17,186646
08,18,168936
08,19,155167
08,20,146121
08,21,140344
08,22,133970
08,23,93788
09,00,67768
09,01,66457
09,02,69148
09,03,84249
09,04,131571
09,05,169745
09,06,174268
09,07,170882
09,08,164331
09,09,163076
09,10,167356
09,11,161703
09,12,152641
09,13,147497
09,14,149272
09,15,153051
09,16,151096
09,17,141422
09,18,122755
09,19,106771
09,20,97380
09,21,92622
09,22,82846
09,23,73702
10,00,68369
10,01,66223
10,02,65992
10,03,70366
10,04,83009
10,05,117705
10,06,164770
10,07,185197
10,08,181645
10,09,174472
10,10,168013
10,11,156905
10,12,147010
10,13,140362
10,14,140665
10,15,142268
10,16,139329
10,17,130666
10,18,116428
10,19,101516
10,20,92056
10,21,84300
10,22,76660
10,23,70400
11,00,66101
11,01,64149
11,02,62245
11,03,63020
11,04,68925
11,05,92184
11,06,133904
11,07,165320
11,08,169983
11,09,166703
11,10,156282
11,11,142776
11,12,132455
11,13,127180
11,14,124624
11,15,127095
11,16,129773
11,17,121325
11,18,102525
11,19,88205
11,20,80370
11,21,74884
11,22,68510
11,23,62512
12,00,59074
12,01,60471
12,02,63597
12,03,80002
12,04,128309
12,05,163708
12,06,165040
12,07,160107
12,08,154597
12,09,155385
12,10,158086
12,11,154256
12,12,154205
12,13,152277
12,14,153880
12,15,153663
12,16,152728
12,17,143025
12,18,122572
12,19,106886
12,20,96922
12,21,92044
12,22,85616
12,23,79273
13,00,76786
13,01,75585
13,02,78605
13,03,96623
13,04,148806
13,05,184212
13,06,180802
13,07,171486
13,08,166313
13,09,168240
13,10,174677
13,11,169730
13,12,163276
13,13,150889
13,14,152350
13,15,155078
13,16,155687
13,17,144688
13,18,123790
13,19,109401
13,20,100136
13,21,91432
13,22,82493
13,23,76371
14,00,72413
14,01,71077
14,02,73402
14,03,90368
14,04,139303
14,05,173970
14,06,175134
14,07,169270
14,08,162885
14,09,163249
14,10,166259
14,11,157989
14,12,151670
14,13,149245
14,14,153539
14,15,156980
14,16,154235
14,17,142733
14,18,123043
14,19,108554
14,20,98531
14,21,90322
14,22,81729
14,23,73896
15,00,70098
15,01,68968
15,02,72407
15,03,88849
15,04,139241
15,05,173269
15,06,171699
15,07,165092
15,08,157752
15,09,158388
15,10,162436
15,11,156635
15,12,151769
15,13,149310
15,14,151216
15,15,154793
15,16,153551
15,17,141389
15,18,121176
15,19,107434
15,20,97767
15,21,91272
15,22,80997
15,23,73455
16,00,69155
16,01,68734
16,02,71140
16,03,86491
16,04,135829
16,05,173030
16,06,175881
16,07,171499
16,08,167119
16,09,167208
16,10,169640
16,11,164920
16,12,157911
16,13,155705
16,14,158738
16,15,159404
16,16,157857
16,17,143766
16,18,122907
16,19,108459
16,20,102043
16,21,92965
16,22,84215
16,23,76424
17,00,71733
17,01,69344
17,02,69080
17,03,72155
17,04,83920
17,05,117430
17,06,168272
17,07,198647
17,08,196652
17,09,186446
17,10,179904
17,11,166324
17,12,155347
17,13,149146
17,14,148079
17,15,149310
17,16,145081
17,17,138274
17,18,114149
17,19,101381
17,20,92860
17,21,88452
17,22,80210
17,23,72552
18,00,67769
18,01,66023
18,02,64742
18,03,66591
18,04,71882
18,05,95398
18,06,141295
18,07,181638
18,08,190684
18,09,183785
18,10,173401
18,11,155123
18,12,139708
18,13,188127
18,14,224584
18,15,230583
18,16,236601
18,17,225451
18,18,109154
18,19,94400
18,20,87986
18,21,81318
18,22,73781
18,23,67379
19,00,63824
19,01,63046
19,02,65846
19,03,83940
19,04,134263
19,05,169185
19,06,169191
19,07,164882
19,08,161391
19,09,162877
19,10,168216
19,11,160914
19,12,154395
19,13,154640
19,14,156913
19,15,158420
19,16,158383
19,17,141302
19,18,118700
19,19,104441
19,20,92856
19,21,92185
19,22,76308
19,23,69946
20,00,65530
20,01,64626
20,02,68750
20,03,86702
20,04,139892
20,05,177556
20,06,176298
20,07,173769
20,08,170019
20,09,168167
20,10,170551
20,11,156338
20,12,137299
20,13,144968
20,14,150453
20,15,156277
20,16,158428
20,17,146580
20,18,127988
20,19,116026
20,20,113403
20,21,105096
20,22,98364
20,23,93490
21,00,91177
21,01,93492
21,02,96776
21,03,114972
21,04,168038
21,05,205148
21,06,209717
21,07,204524
21,08,199491
21,09,202050
21,10,208573
21,11,205573
21,12,199302
21,13,200965
21,14,204255
21,15,210428
21,16,213110
21,17,202238
21,18,181587
21,19,166987
21,20,157794
21,21,150569
21,22,142578
21,23,136346
22,00,133058
22,01,131493
22,02,134057
22,03,151487
22,04,202035
22,05,239270
22,06,239227
22,07,232748
22,08,227287
22,09,227810
22,10,221936
22,11,161253
22,12,151777
22,13,151004
22,14,153660
22,15,157987
22,16,159336
22,17,145173
22,18,123010
22,19,110265
22,20,100936
22,21,92986
22,22,84502
22,23,75781
23,00,71609
23,01,71412
23,02,73278
23,03,89755
23,04,142470
23,05,179587
23,06,181734
23,07,175424
23,08,167998
23,09,169568
23,10,170470
23,11,165818
23,12,159858
23,13,158922
23,14,159603
23,15,162621
23,16,161393
23,17,144212
23,18,123421
23,19,108095
23,20,99721
23,21,93386
23,22,84626
23,23,76678
24,00,70738
24,01,69160
24,02,69272
24,03,73062
24,04,84873
24,05,118145
24,06,170544
24,07,197432
24,08,191253
24,09,181755
24,10,175490
24,11,163615
24,12,151839
24,13,146734
24,14,146608
24,15,147107
24,16,149709
24,17,138732
24,18,116749
24,19,100254
24,20,93761
24,21,87723
24,22,79254
24,23,72729
25,00,67997
25,01,67068
25,02,65980
25,03,68399
25,04,74980
25,05,97618
25,06,144471
25,07,179877
25,08,182155
25,09,172188
25,10,162226
25,11,146832
25,12,133180
25,13,127277
25,14,126038
25,15,130151
25,16,134301
25,17,121608
25,18,102357
25,19,90384
25,20,84755
25,21,78852
25,22,71531
25,23,67005
26,00,63740
26,01,61703
26,02,64307
26,03,84576
26,04,138328
26,05,168543
26,06,168505
26,07,163024
26,08,155822
26,09,155892
26,10,161267
26,11,158022
26,12,156183
26,13,153457
26,14,155916
26,15,159892
26,16,160295
26,17,145255
26,18,120952
26,19,106423
26,20,98161
26,21,89581
26,22,80317
26,23,74182
27,00,69826
27,01,66678
27,02,69519
27,03,89878
27,04,143049
27,05,177289
27,06,179269
27,07,173140
27,08,167654
27,09,168729
27,10,171968
27,11,165266
27,12,160006
27,13,156663
27,14,157709
27,15,160870
27,16,161631
27,17,119807
27,18,130950
27,19,150433
27,20,141742
27,21,106894
27,22,114724
27,23,75996
28,00,70284
28,01,68396
28,02,69387
28,03,86217
28,04,139144
28,05,173074
28,06,177657
28,07,170173
28,08,163094
28,09,164429
28,10,169098
28,11,165189
28,12,159783
28,13,160674
28,14,164763
28,15,171306
28,16,173492
28,17,161148
28,18,138474
28,19,126857
28,20,120078
28,21,113481
28,22,106870
28,23,101865
29,00,97863
29,01,97881
29,02,101275
29,03,120031
29,04,173522
29,05,209044
29,06,210036
29,07,206583
29,08,195629
29,09,169917
29,10,174611
29,11,167977
29,12,161093
29,13,157816
29,14,161891
29,15,165267
29,16,162424
29,17,148799
29,18,125698
29,19,111777
29,20,103785
29,21,93488
29,22,84786
29,23,79735
30,00,74426
30,01,50088
30,02,76187
30,03,93723
30,04,145552
30,05,183974
30,06,187462
30,07,181890
30,08,176750
30,09,177323
30,10,182926
30,11,180065
30,12,175144
30,13,175329
30,14,179450
30,15,184730
30,16,185835
30,17,173183
30,18,148941
30,19,135067
30,20,126699
30,21,119683
30,22,108948
30,23,88388
