day,hour,value
01,00,195739
01,01,173353
01,02,163397
01,03,151578
01,04,135850
01,05,138835
01,06,143584
01,07,151041
01,08,194746
01,09,231063
01,10,245233
01,11,238733
01,12,222354
01,13,203765
01,14,180239
01,15,202594
01,16,221968
01,17,258114
01,18,239065
01,19,205662
01,20,212279
01,21,181528
01,22,174642
01,23,168962
02,00,172621
02,01,170305
02,02,157126
02,03,144777
02,04,147804
02,05,165102
02,06,177470
02,07,226492
02,08,274027
02,09,286982
02,10,278059
02,11,280205
02,12,264606
02,13,237059
02,14,236630
02,15,243230
02,16,270056
02,17,259685
02,18,221744
02,19,192885
02,20,172707
02,21,159337
02,22,150321
02,23,124742
03,00,113972
03,01,120408
03,02,102950
03,03,108742
03,04,100913
03,05,122103
03,06,128025
03,07,174101
03,08,234506
03,09,284318
03,10,294568
03,11,240659
03,12,222933
03,13,206925
03,14,191553
03,15,193329
03,16,204508
03,17,197703
03,18,172898
03,19,171356
03,20,157591
03,21,151384
03,22,143864
03,23,145436
04,00,132045
04,01,108363
04,02,111175
04,03,131808
04,04,132637
04,05,179907
04,06,202291
04,07,226802
04,08,236969
04,09,247179
04,10,246927
04,11,271595
04,12,291188
04,13,254551
04,14,252163
04,15,246134
04,16,227184
04,17,240022
04,18,233871
04,19,202664
04,20,165684
04,21,177867
04,22,170904
04,23,166963
05,00,140958
05,01,130832
05,02,149203
05,03,133053
05,04,146697
05,05,198189
05,06,235140
05,07,252635
05,08,262230
05,09,268670
05,10,267858
05,11,271277
05,12,272190
05,13,256895
05,14,243431
05,15,269238
05,16,259950
05,17,260646
05,18,230809
05,19,208724
05,20,204390
05,21,199875
05,22,190870
05,23,175029
06,00,163172
06,01,163436
06,02,148806
06,03,160523
06,04,169309
06,05,211537
06,06,247692
06,07,247948
06,08,279357
06,09,270578
06,10,274538
06,11,294356
06,12,268224
06,13,255333
06,14,247399
06,15,288858
06,16,275031
06,17,253018
06,18,232891
06,19,225522
06,20,208415
06,21,195710
06,22,176370
06,23,187812
07,00,164758
07,01,137606
07,02,167739
07,03,173531
07,04,167145
07,05,218829
07,06,258765
07,07,255802
07,08,256368
07,09,249638
07,10,257279
07,11,307111
07,12,331906
07,13,309908
07,14,320292
07,15,303278
07,16,294533
07,17,336685
07,18,293420
07,19,255582
07,20,218123
07,21,237611
07,22,202215
07,23,216001
08,00,200608
08,01,230621
08,02,182285
08,03,214713
08,04,215298
08,05,278039
08,06,285374
08,07,285272
08,08,318332
08,09,311960
08,10,320026
08,11,310582
08,12,300287
08,13,277465
08,14,295863
08,15,310669
08,16,300681
08,17,296127
08,18,271951
08,19,242048
08,20,264743
08,21,209757
08,22,211532
08,23,295256
09,00,370892
09,01,368891
09,02,367192
09,03,329986
09,04,327059
09,05,368011
09,06,393142
09,07,396668
09,08,361231
09,09,343218
09,10,349672
09,11,308528
09,12,292078
09,13,358289
09,14,338511
09,15,311493
09,16,330186
09,17,325960
09,18,334443
09,19,267088
09,20,271101
09,21,250014
09,22,238409
09,23,309530
10,00,253999
10,01,246925
10,02,255867
10,03,240213
10,04,260936
10,05,253345
10,06,291070
10,07,343432
10,08,361018
10,09,367278
10,10,373464
10,11,409003
10,12,373689
10,13,350183
10,14,344163
10,15,343288
10,16,318657
10,17,401086
10,18,323037
10,19,342911
10,20,289525
10,21,288242
10,22,255649
10,23,247293
11,00,252365
11,01,270158
11,02,251424
11,03,254554
11,04,291295
11,05,314221
11,06,354057
11,07,361182
11,08,361309
11,09,356179
11,10,347190
11,11,378112
11,12,366043
11,13,367563
11,14,364839
11,15,362909
11,16,404825
11,17,437622
11,18,388941
11,19,326447
11,20,384323
11,21,358944
11,22,385170
11,23,386720
12,00,282560
12,01,245104
12,02,234864
12,03,245179
12,04,265296
12,05,301448
12,06,352841
12,07,343432
12,08,325084
12,09,348600
12,10,364355
12,11,375462
12,12,386089
12,13,331237
12,14,372136
12,15,370215
12,16,370384
12,17,396408
12,18,404610
12,19,324319
12,20,343031
12,21,330272
12,22,340156
12,23,239717
13,00,235322
13,01,246226
13,02,218044
13,03,233202
13,04,275573
13,05,301930
13,06,306467
13,07,312869
13,08,303980
13,09,334065
13,10,350671
13,11,339231
13,12,356651
13,13,305574
13,14,336846
13,15,335785
13,16,344646
13,17,427925
13,18,363850
13,19,297198
13,20,297919
13,21,271301
13,22,305154
13,23,264289
14,00,245064
14,01,258874
14,02,295332
14,03,272243
14,04,294315
14,05,328700
14,06,392372
14,07,373071
14,08,385160
14,09,355645
14,10,375969
14,11,394808
14,12,353131
14,13,337210
14,14,302621
14,15,345610
14,16,376437
14,17,372698
14,18,357415
14,19,338519
14,20,369535
14,21,295230
14,22,323112
14,23,292744
15,00,282251
15,01,344208
15,02,308297
15,03,240896
15,04,344904
15,05,356868
15,06,393022
15,07,395065
15,08,401480
15,09,398976
15,10,375119
15,11,393834
15,12,399826
15,13,392408
15,14,371148
15,15,398315
15,16,419377
15,17,445028
15,18,408477
15,19,344158
15,20,440527
15,21,404959
15,22,333637
15,23,373359
16,00,297640
16,01,290658
16,02,301567
16,03,266353
16,04,276045
16,05,290901
16,06,322562
16,07,377449
16,08,475426
16,09,451548
16,10,473636
16,11,479287
16,12,400305
16,13,349129
16,14,351179
16,15,331618
16,16,432884
16,17,443460
16,18,410513
16,19,422323
16,20,446773
16,21,420837
16,22,427228
16,23,424982
17,00,413109
17,01,391728
17,02,381928
17,03,419010
17,04,361614
17,05,402022
17,06,355882
17,07,411412
17,08,458728
17,09,452528
17,10,392955
17,11,420254
17,12,631555
17,13,549737
17,14,454609
17,15,401540
17,16,618228
17,17,616363
17,18,498847
17,19,617871
17,20,568373
17,21,257210
17,22,219685
17,23,237721
18,00,236032
18,01,228451
18,02,206964
18,03,219576
18,04,213904
18,05,343275
18,06,300656
18,07,301275
18,08,290342
18,09,297357
18,10,310897
18,11,306868
18,12,312167
18,13,291736
18,14,283084
18,15,320587
18,16,327990
18,17,321702
18,18,290975
18,19,276156
18,20,310130
18,21,585680
18,22,328061
18,23,268641
19,00,217955
19,01,265022
19,02,230315
19,03,228084
19,04,259619
19,05,291992
19,06,330499
19,07,342377
19,08,354171
19,09,361983
19,10,335851
19,11,316326
19,12,322584
19,13,284124
19,14,316927
19,15,332297
19,16,313785
19,17,297071
19,18,300036
19,19,256656
19,20,289288
19,21,301623
19,22,303388
19,23,197246
20,00,203671
20,01,196454
20,02,196297
20,03,207383
20,04,212139
20,05,282572
20,06,338165
20,07,296758
20,08,283231
20,09,283371
20,10,304200
20,11,279962
20,12,319739
20,13,300292
20,14,317829
20,15,329237
20,16,374322
20,17,498989
20,18,444273
20,19,294317
20,20,255474
20,21,585088
20,22,605019
20,23,561337
21,00,229151
21,01,234022
21,02,276415
21,03,223363
21,04,259470
21,05,316782
21,06,384204
21,07,367595
21,08,373975
21,09,363127
21,10,361619
21,11,387358
21,12,371592
21,13,341938
21,14,308160
21,15,317221
21,16,332284
21,17,344188
21,18,327305
21,19,329807
21,20,304535
21,21,272187
21,22,262956
21,23,240301
22,00,246556
22,01,238825
22,02,269121
22,03,243932
22,04,286647
22,05,319693
22,06,371677
22,07,425004
22,08,450651
22,09,475216
22,10,435091
22,11,475838
22,12,416154
22,13,456648
22,14,439877
22,15,445157
22,16,404956
22,17,404273
22,18,307179
22,19,320877
22,20,359525
22,21,323649
22,22,308070
22,23,328135
23,00,288600
23,01,329318
23,02,302244
23,03,302939
23,04,246190
23,05,257394
23,06,296787
23,07,333827
23,08,370327
23,09,357101
23,10,418262
23,11,343491
23,12,297041
23,13,331348
23,14,307868
23,15,318447
23,16,314285
23,17,326925
23,18,318634
23,19,304221
23,20,271903
23,21,264377
23,22,252865
23,23,227995
24,00,208303
24,01,215735
24,02,241222
24,03,216349
24,04,219825
24,05,250300
24,06,220800
24,07,283325
24,08,360897
24,09,353360
24,10,405580
24,11,394979
24,12,335017
24,13,343492
24,14,293785
24,15,315913
24,16,324952
24,17,333580
24,18,308903
24,19,304223
24,20,322254
24,21,308524
24,22,304187
24,23,324098
25,00,285477
25,01,340182
25,02,278724
25,03,264096
25,04,269469
25,05,341350
25,06,382093
25,07,349918
25,08,366129
25,09,348748
25,10,341082
25,11,327641
25,12,350607
25,13,346796
25,14,311983
25,15,319500
25,16,318962
25,17,341008
25,18,322170
25,19,292277
25,20,295021
25,21,288186
25,22,252336
25,23,258683
26,00,231009
26,01,245092
26,02,241011
26,03,267231
26,04,271451
26,05,342253
26,06,411884
26,07,406881
26,08,406562
26,09,407735
26,10,397194
26,11,363595
26,12,383713
26,13,377375
26,14,364229
26,15,349935
26,16,374041
26,17,386668
26,18,377065
26,19,362022
26,20,362914
26,21,321590
26,22,309897
26,23,299775
27,00,281626
27,01,300591
27,02,309918
