day,hour,value
01,00,9457
01,01,8242
01,02,7046
01,03,6053
01,04,6019
01,05,6628
01,06,7797
01,07,10262
01,08,14180
01,09,16905
01,10,17567
01,11,16628
01,12,15134
01,13,13555
01,14,12881
01,15,12847
01,16,13295
01,17,13535
01,18,12267
01,19,9969
01,20,8582
01,21,8301
01,22,7990
01,23,7080
02,00,6177
02,01,5596
02,02,5289
02,03,5287
02,04,5723
02,05,6843
02,06,9941
02,07,15085
02,08,18985
02,09,19232
02,10,18493
02,11,17778
02,12,16407
02,13,15140
02,14,14644
02,15,14602
02,16,14847
02,17,15153
02,18,13635
02,19,11212
02,20,9433
02,21,8867
02,22,8714
02,23,7831
03,00,6712
03,01,6042
03,02,5700
03,03,5538
03,04,5744
03,05,6451
03,06,8867
03,07,14056
03,08,18931
03,09,20296
03,10,19822
03,11,18730
03,12,16807
03,13,15028
03,14,14105
03,15,14071
03,16,14563
03,17,14700
03,18,13064
03,19,10582
03,20,9157
03,21,9019
03,22,8412
03,23,7184
04,00,6062
04,01,5473
04,02,5390
04,03,5980
04,04,8471
04,05,14081
04,06,17829
04,07,18589
04,08,18231
04,09,17344
04,10,17132
04,11,17919
04,12,16914
04,13,15641
04,14,15483
04,15,16674
04,16,16928
04,17,16965
04,18,15822
04,19,12072
04,20,10234
04,21,10182
04,22,8899
04,23,7777
05,00,6525
05,01,5980
05,02,5866
05,03,6218
05,04,8735
05,05,14487
05,06,18314
05,07,18918
05,08,18101
05,09,17021
05,10,16993
05,11,17716
05,12,16596
05,13,15528
05,14,15146
05,15,15594
05,16,16627
05,17,16962
05,18,14905
05,19,11844
05,20,10170
05,21,9879
05,22,9223
05,23,7861
06,00,6629
06,01,5966
06,02,5836
06,03,6114
06,04,8306
06,05,13072
06,06,17160
06,07,18833
06,08,18889
06,09,18029
06,10,17922
06,11,18441
06,12,17370
06,13,15888
06,14,15478
06,15,15735
06,16,16506
06,17,16447
06,18,14635
06,19,11785
06,20,10179
06,21,9797
06,22,9156
06,23,7767
07,00,6447
07,01,5905
07,02,5884
07,03,6294
07,04,9216
07,05,16139
07,06,19736
07,07,19075
07,08,17785
07,09,16664
07,10,16509
07,11,17473
07,12,16694
07,13,15778
07,14,15444
07,15,15997
07,16,17059
07,17,17056
07,18,14856
07,19,11868
07,20,10084
07,21,9788
07,22,9161
07,23,7745
08,00,6494
08,01,5965
08,02,5881
08,03,6276
08,04,9085
08,05,15744
08,06,19725
08,07,19393
