Country,transaction
Germany,25701109
United States of America,20700836
Switzerland,11372640
Netherlands,8221477
Sweden,7419912
France,4190263
Belgium,3377316
United Kingdom,2611808
Canada,2174521
Austria,1369347
Norway,1120077
Australia,960044
Denmark,599781
Spain,562459
Finland,531559
Ireland,511686
Poland,449915
Luxembourg,416017
Italy,390083
New Zealand,357727
Russia,252409
Israel,128830
Singapore,123117
Mexico,115487
Czech republic,104463
Monaco,95390
Hong Kong,90986
Thailand,84653
Greece,83303
Japan,83052
Liechtenstein,82289
Brazil,82171
Hungary,74315
Romania,71071
Faroe Islands,68512
Portugal,66187
Serbia,63062
South Africa,62779
Ukraine,61359
Colombia,57421
Turkey,57186
Slovenia,49917
Taiwan,43375
Croatia,42563
Chile,39967
Curacao,37908
Slovak Republic,34729
Bosnia and Herzegovina,34174
Iceland,28985
Morocco,28897
India,25837
not found,25774
Puerto Rico,25276
Indonesia,24987
Estonia,24334
Republic of Lithuania,22787
Peru,21404
Belarus,20283
Angola,20202
Argentina,19833
Latvia,18610
Malaysia,17048
Albania,15963
United Arab Emirates,15817
Cyprus,15759
Tunisia,15365
China,14283
Malta,13523
Philippines,12899
Republic of Korea,12650
Egypt,12137
Algeria,12066
Panama,11519
Dominican Republic,10611
Vietnam,9856
Bulgaria,9820
Costa Rica,8999
Venezuela,8248
Kazakhstan,8166
,8102
Netherlands,7323
Kenya,7076
Uruguay,6966
Ecuador,6547
Mauritius,6527
Namibia,6329
Bermuda,6125
Paraguay,5979
Brunei,5965
Finland,5855
France,5669
United Kingdom,5293
Barbados,5292
Grenada,5265
Saudi Arabia,5256
Zambia,5109
France,4995
Trinidad and Tobago,4874
Montenegro,4592
New Caledonia,4543
Iraq,4469
Guatemala,4464
Zimbabwe,4291
French Guiana,4110
Suriname,4051
Qatar,3926
Pakistan,3681
Jersey,3398
Jamaica,3010
Belize,2958
Saint Pierre and Miquelon,2946
French Polynesia,2655
Mali,2639
El Salvador,2484
Fiji,2467
Saint Martin,2258
Andorra,2173
Djibouti,2166
Kuwait,2154
Nigeria,2095
Uzbekistan,1948
Bolivia,1946
Tanzania,1912
Isle of Man,1799
British Virgin Islands,1751
Oman,1748
Bangladesh,1743
Lebanon,1626
Laos,1618
Guernsey,1500
Botswana,1482
Greenland,1355
Cayman Islands,1268
Georgia,1260
Palestine,1242
Rwanda,1174
Cameroon,1170
Macedonia,1086
Haiti,1019
Ghana,1014
Republic of the Congo,1008
American Samoa,949
Senegal,811
France,809
Hashemite Kingdom of Jordan,736
Bahamas,735
Ivory Coast,732
Nepal,628
Burkina Faso,612
Gabon,554
Saint Vincent and the Grenadines,547
Mozambique,544
France,480
Benin,439
Macao,423
Syria,316
Antigua and Barbuda,314
Republic of Moldova,281
Saint Lucia,214
France,212
United States of America,204
Libya,195
Azerbaijan,171
Wallis and Futuna,117
Cambodia,115
Marshall Islands,114
Anguilla,50
Congo,29
Iran,18
Seychelles,11
Guyana,6
Kosovo,4
Nicaragua,3
Aruba,2
Sri Lanka,2
Kyrgyzstan,1
Guam,1
