day,hour,value
01,00,206665
01,01,215453
01,02,214208
01,03,230278
01,04,243332
01,05,300064
01,06,318513
01,07,334118
01,08,318920
01,09,323645
01,10,315247
01,11,273359
01,12,284635
01,13,272268
01,14,262340
01,15,264176
01,16,265108
01,17,271721
01,18,248281
01,19,242479
01,20,235047
01,21,221250
01,22,224160
01,23,166006
02,00,138518
02,01,134188
02,02,132921
02,03,133382
02,04,159239
02,05,247669
02,06,281618
02,07,307572
02,08,315475
02,09,307113
02,10,333813
02,11,348916
02,12,342851
02,13,319137
02,14,347489
02,15,346982
02,16,345999
02,17,326703
02,18,345538
02,19,321401
02,20,311799
02,21,277517
02,22,226969
02,23,208998
03,00,237798
03,01,229708
03,02,217594
03,03,235987
03,04,261375
03,05,305997
03,06,328116
03,07,335381
03,08,351647
03,09,352821
03,10,331245
03,11,346548
03,12,354212
03,13,356812
03,14,368815
03,15,346062
03,16,366772
03,17,371555
03,18,368503
03,19,328490
03,20,341092
03,21,339026
03,22,359649
03,23,343981
04,00,282904
04,01,273648
04,02,284425
04,03,289093
04,04,287853
04,05,354354
04,06,376643
04,07,404901
04,08,395053
04,09,391567
04,10,401359
04,11,385195
04,12,353375
04,13,344126
04,14,383064
04,15,428605
04,16,411734
04,17,402181
04,18,375915
04,19,364388
04,20,341581
04,21,363556
04,22,352837
04,23,317985
05,00,281171
05,01,274270
05,02,318244
05,03,331453
05,04,346541
05,05,315070
05,06,357454
05,07,477346
05,08,416076
05,09,362422
05,10,382364
05,11,372823
05,12,369032
05,13,354413
05,14,370696
05,15,357731
05,16,393744
05,17,384529
05,18,360266
05,19,356251
05,20,341504
05,21,351953
05,22,308471
05,23,294312
06,00,282266
06,01,272015
06,02,244513
06,03,255030
06,04,254146
06,05,277755
06,06,292629
06,07,328998
06,08,376077
06,09,396435
06,10,420476
06,11,430746
06,12,422803
06,13,425437
06,14,400998
06,15,363567
06,16,404783
06,17,417585
06,18,373069
06,19,321298
06,20,310780
06,21,270372
06,22,268584
06,23,253032
07,00,257215
07,01,244280
07,02,256372
07,03,241828
07,04,224358
07,05,282690
07,06,318962
07,07,349006
07,08,320634
07,09,335924
07,10,351382
07,11,341945
07,12,323159
07,13,320441
07,14,324635
07,15,329537
07,16,355531
07,17,337211
07,18,336304
07,19,328675
07,20,323588
07,21,325601
07,22,317794
07,23,291670
08,00,242092
08,01,240380
08,02,228967
08,03,242800
08,04,260733
08,05,296206
08,06,361786
08,07,362759
08,08,357527
08,09,389121
08,10,413008
08,11,439405
08,12,427810
08,13,409016
08,14,415647
08,15,387306
08,16,426287
08,17,425813
08,18,431367
08,19,359119
08,20,333565
08,21,308094
08,22,304183
08,23,284037
09,00,206928
09,01,218836
09,02,211180
09,03,230902
09,04,237508
09,05,282595
09,06,325076
09,07,316951
09,08,321163
09,09,323995
09,10,330159
09,11,338167
09,12,347821
09,13,334532
09,14,326683
09,15,316464
09,16,328906
09,17,305461
09,18,271102
09,19,243028
09,20,228429
09,21,223190
09,22,228681
09,23,204251
10,00,197839
10,01,193217
10,02,192117
10,03,193887
10,04,213582
10,05,258949
10,06,322462
10,07,304963
10,08,310708
10,09,304862
10,10,315334
10,11,326051
10,12,310794
10,13,301110
10,14,263291
10,15,271752
10,16,277617
10,17,273319
10,18,267076
10,19,214050
10,20,201640
10,21,195269
10,22,183667
10,23,181583
11,00,189449
11,01,173245
11,02,170164
11,03,177416
11,04,202054
11,05,248207
11,06,286817
11,07,282460
11,08,268006
11,09,275956
11,10,279345
11,11,284217
11,12,264778
11,13,269432
11,14,246627
11,15,254290
11,16,276347
11,17,232354
11,18,233463
11,19,190205
11,20,137521
11,21,203685
11,22,177870
11,23,170589
12,00,165871
12,01,160152
12,02,158748
12,03,150405
12,04,157745
12,05,169583
12,06,208974
12,07,291150
12,08,367595
12,09,323038
12,10,262715
12,11,261320
12,12,235559
12,13,220819
12,14,212337
12,15,240154
12,16,254844
12,17,236757
12,18,237829
12,19,182794
12,20,179887
12,21,185689
12,22,187421
12,23,179608
13,00,160521
13,01,172606
13,02,185633
13,03,154651
13,04,148885
13,05,172989
13,06,187187
13,07,247176
13,08,316281
13,09,310049
13,10,321051
13,11,303127
13,12,277373
13,13,263407
13,14,222920
13,15,252608
13,16,267198
13,17,299074
13,18,283287
13,19,226659
13,20,264606
13,21,244180
13,22,228074
13,23,195380
14,00,166878
14,01,178204
14,02,140891
14,03,198866
14,04,179858
14,05,262265
14,06,295565
14,07,257890
14,08,250225
14,09,229748
14,10,230531
14,11,244965
14,12,229981
14,13,220084
14,14,211305
14,15,220149
14,16,251806
14,17,233693
14,18,226184
14,19,182649
14,20,175605
14,21,181167
14,22,156740
14,23,154370
15,00,145336
15,01,148961
15,02,146715
15,03,145991
15,04,148846
15,05,203087
15,06,270592
15,07,256116
15,08,264189
15,09,276043
15,10,268351
15,11,279584
15,12,220098
15,13,245005
15,14,259644
15,15,314207
15,16,294603
15,17,288284
15,18,281199
15,19,248636
15,20,268200
15,21,207629
15,22,161293
15,23,142132
16,00,136727
16,01,151012
16,02,150556
16,03,157770
16,04,193852
16,05,223229
16,06,251930
16,07,269718
16,08,268241
16,09,246250
16,10,275289
16,11,252977
16,12,249250
16,13,276417
16,14,290191
16,15,311620
16,16,335186
16,17,366981
16,18,388950
16,19,339341
16,20,339954
16,21,306318
16,22,276630
16,23,282583
17,00,272454
17,01,227096
17,02,234786
17,03,204112
17,04,217048
17,05,317735
17,06,378487
17,07,381127
17,08,388210
17,09,329654
17,10,319132
17,11,331358
17,12,289213
17,13,289642
17,14,289243
17,15,273879
17,16,280518
17,17,281413
17,18,260995
17,19,249731
17,20,231983
17,21,203189
17,22,193156
17,23,170562
18,00,182934
18,01,163801
18,02,178512
18,03,193922
18,04,204310
18,05,229757
18,06,316072
18,07,326054
18,08,308217
18,09,322808
18,10,321985
18,11,349685
18,12,365408
18,13,349073
18,14,356953
18,15,373376
18,16,367320
18,17,366602
18,18,331774
18,19,240220
18,20,250623
18,21,295672
18,22,292938
18,23,282013
19,00,219223
19,01,236816
19,02,224258
19,03,227477
19,04,208873
19,05,227898
19,06,314178
19,07,349080
19,08,359128
19,09,373454
19,10,379008
19,11,394628
19,12,326930
19,13,310599
19,14,322858
19,15,321566
19,16,337331
19,17,356947
19,18,327620
19,19,302378
19,20,249383
19,21,222861
19,22,215800
19,23,232778
20,00,228504
20,01,217372
20,02,231393
20,03,217744
20,04,224252
20,05,251107
20,06,240968
20,07,311622
20,08,378716
20,09,359472
20,10,338751
20,11,311322
20,12,336409
20,13,314480
20,14,289605
20,15,262384
20,16,253519
20,17,325498
20,18,274196
20,19,259797
20,20,288224
20,21,242401
20,22,272317
20,23,266573
21,00,226331
21,01,241005
21,02,218214
21,03,238319
21,04,229694
21,05,312474
21,06,350696
21,07,364949
21,08,387768
21,09,386352
21,10,404764
21,11,405910
21,12,389197
21,13,393447
21,14,385859
21,15,374107
21,16,354714
21,17,375251
21,18,392335
21,19,353599
21,20,329728
21,21,377696
21,22,342795
21,23,308022
22,00,273249
22,01,241651
22,02,253491
22,03,268794
22,04,285474
22,05,343951
22,06,345947
22,07,315900
22,08,305834
22,09,321603
22,10,327423
22,11,316823
22,12,318709
22,13,346159
22,14,325000
22,15,313733
22,16,308079
22,17,297563
22,18,287000
22,19,248568
22,20,228677
22,21,234317
22,22,245424
22,23,270318
23,00,235550
23,01,251995
23,02,249817
23,03,235915
23,04,201249
23,05,238966
23,06,274879
23,07,286441
23,08,286545
23,09,275519
23,10,271148
23,11,274674
23,12,277005
23,13,270391
23,14,269828
23,15,274622
23,16,268359
23,17,291487
23,18,260562
23,19,268728
23,20,240260
23,21,225917
23,22,206071
23,23,178952
24,00,176669
24,01,160462
24,02,157474
24,03,160798
24,04,187235
24,05,228594
24,06,261788
24,07,273923
24,08,271443
24,09,277966
24,10,277825
24,11,285106
24,12,289394
24,13,264905
24,14,303706
24,15,303428
24,16,299176
24,17,300807
24,18,278129
24,19,255274
24,20,245026
24,21,201236
24,22,185507
24,23,170518
25,00,154800
25,01,160061
25,02,153264
25,03,159945
25,04,150482
25,05,162875
25,06,206920
25,07,243913
25,08,285411
25,09,273487
25,10,285658
25,11,283571
25,12,269459
25,13,242911
25,14,228823
25,15,224187
25,16,254172
25,17,237428
25,18,227714
25,19,170896
25,20,145524
25,21,142148
25,22,132191
25,23,125126
26,00,111565
26,01,104553
26,02,107335
26,03,108788
26,04,125968
26,05,155402
26,06,203427
26,07,255332
26,08,288359
26,09,272126
26,10,275926
26,11,253923
26,12,276543
26,13,278280
26,14,308943
26,15,297305
26,16,335265
26,17,339933
26,18,322587
26,19,266561
26,20,243874
26,21,255083
26,22,219687
26,23,207199
27,00,199868
27,01,183695
27,02,164587
27,03,183178
27,04,170025
27,05,196908
27,06,223288
27,07,286270
27,08,328739
27,09,319887
27,10,307969
27,11,291960
27,12,274016
27,13,253022
27,14,254456
27,15,261104
27,16,277894
27,17,272547
27,18,254806
27,19,262848
27,20,215163
27,21,226541
27,22,219416
27,23,224886
28,00,202481
28,01,240532
28,02,246843
28,03,235640
28,04,253489
28,05,262972
28,06,311910
28,07,363332
28,08,392511
28,09,386344
28,10,396336
28,11,355975
28,12,353444
28,13,345392
28,14,344498
28,15,325374
28,16,333408
28,17,321226
28,18,280576
28,19,268146
28,20,253462
28,21,238404
28,22,231390
28,23,219484
29,00,221768
29,01,210147
29,02,198695
29,03,237949
29,04,289054
29,05,312594
29,06,339549
29,07,324998
29,08,330642
29,09,327563
29,10,317419
29,11,276649
29,12,273104
29,13,282183
29,14,290797
29,15,290469
29,16,310561
29,17,313160
29,18,276949
29,19,263748
29,20,271593
29,21,238211
29,22,240982
29,23,225143
30,00,196933
30,01,194874
30,02,195208
30,03,210289
30,04,260047
30,05,300913
30,06,315294
30,07,303426
30,08,289523
30,09,302110
30,10,317469
30,11,321155
30,12,312903
30,13,286789
30,14,299525
30,15,290395
30,16,320594
30,17,303149
30,18,276269
30,19,275184
30,20,262392
30,21,249248
30,22,244208
30,23,229116
31,00,223460
31,01,222509
31,02,227654
31,03,245451
31,04,279923
31,05,316920
31,06,316012
31,07,280961
31,08,269344
31,09,274600
31,10,289099
31,11,280487
31,12,262085
31,13,272562
31,14,267213
31,15,260743
31,16,265562
31,17,252964
31,18,224646
31,19,194265
31,20,222378
31,21,193181
31,22,173912
31,23,166696
